"Facility_ID1","Facility_Name1","County","Hospital_Onset_Cases","Predicted_Cases","Patient_Days","SIR","SIR_CI_95_Lower_Limit","SIR_CI_95_Upper_Limit","Comparison"
630012960,"Adventist Medical Center","Kings",2,1.57,33672,1.28,0.21,4.22,"No Difference"
40000124,"Adventist Medical Center - Reedley","Fresno",0,0.26,7125,0,0,14.45,"No Difference"
40000122,"Adventist Medical Center - Selma","Fresno",0,0.3,7286,0,0,12.32,"No Difference"
60000002,"AHMC Anaheim Regional Medical Center","Orange",0,2.42,49819,0,0,1.24,"No Difference"
140000011,"Alameda Hospital","Alameda",0,0.67,14217,0,0,5.49,"No Difference"
930000005,"Alhambra Hospital Medical Center","Los Angeles",1,NA,16823,NA,NA,NA,""
140000425,"Alta Bates Summit Medical Center","Alameda",2,2.65,61891,0.75,0.13,2.49,"No Difference"
140000012,"Alta Bates Summit Medical Center - Alta Bates Campus","Alameda",2,3.74,67045,0.53,0.09,1.76,"No Difference"
90000013,"Alvarado Hospital Medical Center","San Diego",8,1.98,26768,4.04,1.88,7.68,"Higher"
60000074,"Anaheim Global Medical Center","Orange",0,1.38,37103,0,0,2.17,"No Difference"
930000008,"Antelope Valley Hospital","Los Angeles",3,4.66,90048,0.64,0.16,1.75,"No Difference"
240000100,"Arrowhead Regional Medical Center","San Bernardino",11,11.71,102417,0.94,0.49,1.63,"No Difference"
120001330,"Bakersfield Heart Hospital","Kern",0,0.57,13827,0,0,6.43,"No Difference"
120000338,"Bakersfield Memorial Hospital","Kern",2,3.65,67428,0.55,0.09,1.81,"No Difference"
230000008,"Banner Lassen Medical Center","Lassen",0,0.16,4483,NA,NA,NA,""
240000001,"Barstow Community Hospital","San Bernardino",0,0.46,7296,0,0,8,"No Difference"
30000114,"Barton Memorial Hospital","El Dorado",0,0.28,7812,0,0,13.18,"No Difference"
240000002,"Bear Valley Community Hospital","San Bernardino",0,0.02,682,NA,NA,NA,""
930000012,"Beverly Hospital","Los Angeles",4,2.08,38986,1.92,0.61,4.63,"No Difference"
930000002,"California Hospital Medical Center - Los Angeles","Los Angeles",7,4.45,80800,1.57,0.69,3.11,"No Difference"
220000002,"California Pacific Medical Center - California West Campus Hospital","San Francisco",0,1.42,39011,0,0,2.11,"No Difference"
220000023,"California Pacific Medical Center - Davies Campus Hospital","San Francisco",2,0.74,17604,2.71,0.33,9.77,"No Difference"
220000022,"California Pacific Medical Center - Pacific Campus Hospital","San Francisco",5,3.59,79339,1.39,0.51,3.09,"No Difference"
220000018,"California Pacific Medical Center - St. Luke’s Campus Hospital","San Francisco",3,0.86,19115,3.49,0.72,10.19,"No Difference"
930000013,"Catalina Island Medical Center","Los Angeles",0,0.01,234,NA,NA,NA,""
930000004,"Cedars-Sinai Medical Center","Los Angeles",16,19.39,258100,0.83,0.49,1.31,"No Difference"
930000022,"Centinela Hospital Medical Center","Los Angeles",2,4.14,71621,0.48,0.08,1.6,"No Difference"
40000119,"Central Valley General Hospital","Kings",0,0.33,9211,0,0,11.18,"No Difference"
60000006,"Chapman Global Medical Center","Orange",0,0.38,7464,0,0,9.61,"No Difference"
140000014,"Children's Hospital & Research Center Oakland","Alameda",0,2.41,48622,0,0,1.24,"No Difference"
60001207,"Children's Hospital at Mission","Orange",0,0.27,7619,0,0,13.51,"No Difference"
930000034,"Children's Hospital Los Angeles","Los Angeles",2,5.48,105815,0.37,0.06,1.21,"No Difference"
60000007,"Children's Hospital of Orange County","Orange",0,3.5,62718,0,0,0.86,"Lower"
220000003,"Chinese Hospital","San Francisco",0,0.28,7765,0,0,13.26,"No Difference"
240000003,"Chino Valley Medical Center","San Bernardino",0,0.61,16316,0,0,6.06,"No Difference"
930000070,"Citrus Valley Medical Center - IC Campus","Los Angeles",6,7.29,94328,0.82,0.33,1.71,"No Difference"
930000036,"City of Hope Helford Clinical Research Hospital","Los Angeles",5,2.55,63290,1.96,0.72,4.34,"No Difference"
40000095,"Clovis Community Medical Center","Fresno",1,2.47,64814,0.41,0.02,2,"No Difference"
40000096,"Coalinga Regional Medical Center","Fresno",0,0.02,583,NA,NA,NA,""
930000038,"Coast Plaza Hospital","Los Angeles",0,NA,9526,NA,NA,NA,""
60000008,"College Hospital Costa Mesa","Orange",1,NA,37814,NA,NA,NA,""
930000114,"College Medical Center","Los Angeles",1,2,39475,0.5,0.03,2.46,"No Difference"
240000034,"Colorado River Medical Center","San Bernardino",0,0.05,1437,NA,NA,NA,""
230000259,"Colusa Regional Medical Center","Colusa",0,NA,300,NA,NA,NA,""
930000082,"Community Hospital Long Beach","Los Angeles",1,3.15,15482,0.32,0.02,1.57,"No Difference"
930000040,"Community Hospital of Huntington Park","Los Angeles",1,0.53,13706,1.88,0.05,10.47,"No Difference"
240000082,"Community Hospital of San Bernardino","San Bernardino",1,1.17,30451,0.86,0.04,4.23,"No Difference"
70000137,"Community Hospital of The Monterey Peninsula","Monterey",3,2.36,50173,1.27,0.32,3.46,"No Difference"
50000014,"Community Memorial Hospital - San Buenaventura","Ventura",3,3.78,53327,0.79,0.2,2.16,"No Difference"
40000101,"Community Regional Medical Center","Fresno",17,14.84,199202,1.15,0.69,1.8,"No Difference"
140000195,"Contra Costa Regional Medical Center","Contra Costa",0,1.85,42645,0,0,1.62,"No Difference"
250000006,"Corona Regional Medical Center","Riverside",0,1.49,28179,0,0,2.01,"No Difference"
30000117,"Dameron Hospital","San Joaquin",5,1.99,39616,2.52,0.92,5.58,"No Difference"
120000336,"Delano Regional Medical Center","Kern",0,0.66,10528,0,0,5.59,"No Difference"
250000008,"Desert Regional Medical Center","Riverside",6,6.62,90075,0.91,0.37,1.89,"No Difference"
240001330,"Desert Valley Hospital","San Bernardino",3,1.48,35073,2.03,0.52,5.52,"No Difference"
30000118,"Doctors Hospital of Manteca","San Joaquin",1,0.93,14981,1.08,0.03,6,"No Difference"
30000122,"Doctors Medical Center","Stanislaus",10,10.83,133855,0.92,0.47,1.65,"No Difference"
70000139,"Dominican Hospital","Santa Cruz",1,2.94,45230,0.34,0.02,1.68,"No Difference"
930001709,"Earl & Loraine Miller Children's Hospital","Los Angeles",0,2.88,75736,0,0,1.04,"No Difference"
930000053,"East Los Angeles Doctors Hospital","Los Angeles",2,0.72,17336,2.79,0.34,10.08,"No Difference"
